Condition ID,Follow-up Time (week),Response Score (a.u.),Solid Density (a.u.),Dashed Density (a.u.),Focal X (a.u.)
Visit A,0,0.180,0.016950,0.012076,
Visit A,0,0.200,0.026807,0.012245,
Visit A,0,0.220,0.055866,0.012738,
Visit A,0,0.240,0.139303,0.014070,
Visit A,0,0.260,0.338899,0.017405,
Visit A,0,0.280,0.681457,0.025147,
Visit A,0,0.300,1.073716,0.041785,
Visit A,0,0.320,1.394830,0.074844,
Visit A,0,0.340,1.672318,0.135496,
Visit A,0,0.360,1.994425,0.238028,
Visit A,0,0.380,2.324533,0.397288,
Visit A,0,0.400,2.535050,0.623682,
Visit A,0,0.420,2.532296,0.916447,
Visit A,0,0.440,2.304384,1.257540,
Visit A,0,0.460,1.908928,1.609537,
Visit A,0,0.480,1.439910,1.920459,0.470
Visit A,0,0.500,0.989764,2.136162,
Visit A,0,0.520,0.621047,2.218212,
Visit A,0,0.540,0.357105,2.162187,
Visit A,0,0.560,0.189883,2.003581,
Visit A,0,0.580,0.095407,1.790846,
Visit A,0,0.600,0.047576,1.536977,
Visit A,0,0.620,0.025803,1.221135,
Visit A,0,0.640,0.016872,0.858726,
Visit A,0,0.660,0.013564,0.525570,
Visit A,0,0.680,0.012457,0.287563,
Visit A,0,0.700,0.012121,0.149029,
Visit A,0,0.720,0.012029,0.077460,
Visit A,0,0.740,0.012006,0.042142,
Visit A,0,0.760,0.012001,0.025182,
Visit A,0,0.780,0.012000,0.017407,
Visit B,4,0.180,0.012484,0.012006,
Visit B,4,0.200,0.013660,0.012023,
Visit B,4,0.220,0.017241,0.012081,
Visit B,4,0.240,0.027678,0.012262,
Visit B,4,0.260,0.058447,0.012788,
Visit B,4,0.280,0.146791,0.014211,
Visit B,4,0.300,0.358128,0.017774,
Visit B,4,0.320,0.720836,0.026044,
Visit B,4,0.340,1.136170,0.043815,
Visit B,4,0.360,1.476173,0.079129,
Visit B,4,0.380,1.769984,0.143917,
Visit B,4,0.400,2.111039,0.253439,
Visit B,4,0.420,2.460564,0.423557,
Visit B,4,0.440,2.683465,0.665388,
Visit B,4,0.460,2.680549,0.978114,
Visit B,4,0.480,2.439231,1.342463,0.500
Visit B,4,0.500,2.020512,1.718460,
Visit B,4,0.520,1.523905,2.050581,
Visit B,4,0.540,1.047280,2.280991,
Visit B,4,0.560,0.656874,2.368636,
Visit B,4,0.580,0.377405,2.308791,
Visit B,4,0.600,0.200347,2.139371,
Visit B,4,0.620,0.100313,1.912131,
Visit B,4,0.640,0.049668,1.640953,
Visit B,4,0.660,0.026615,1.303576,
Visit B,4,0.680,0.017159,0.916457,
Visit B,4,0.700,0.013656,0.560586,
Visit B,4,0.720,0.012484,0.306351,
Visit B,4,0.740,0.012129,0.158372,
Visit B,4,0.760,0.012031,0.081923,
Visit B,4,0.780,0.012007,0.044197,
Visit C,8,0.180,0.012015,0.012000,
Visit C,8,0.200,0.012067,0.012002,
Visit C,8,0.220,0.012264,0.012007,
Visit C,8,0.240,0.012947,0.012025,
Visit C,8,0.260,0.015110,0.012085,
Visit C,8,0.280,0.021504,0.012276,
Visit C,8,0.300,0.040171,0.012832,
Visit C,8,0.320,0.095260,0.014333,
Visit C,8,0.340,0.242857,0.018093,
Visit C,8,0.360,0.546279,0.026821,
Visit C,8,0.380,0.972994,0.045575,
Visit C,8,0.400,1.376156,0.082842,
Visit C,8,0.420,1.692952,0.151214,
Visit C,8,0.440,2.018516,0.266795,
Visit C,8,0.460,2.394087,0.446324,
Visit C,8,0.480,2.710788,0.701533,0.540
Visit C,8,0.500,2.833110,1.031559,
Visit C,8,0.520,2.701705,1.416063,
Visit C,8,0.540,2.345547,1.812860,
Visit C,8,0.560,1.853723,2.163354,
Visit C,8,0.580,1.334257,2.406510,
Visit C,8,0.600,0.875557,2.499003,
Visit C,8,0.620,0.525038,2.435848,
Visit C,8,0.640,0.289263,2.257055,
Visit C,8,0.660,0.148307,2.017245,
Visit C,8,0.680,0.072957,1.731065,
Visit C,8,0.700,0.036798,1.375024,
Visit C,8,0.720,0.021177,0.966491,
Visit C,8,0.740,0.015089,0.590934,
Visit C,8,0.760,0.012946,0.322634,
Visit C,8,0.780,0.012264,0.166469,
Visit D,12,0.180,0.012000,0.012000,
Visit D,12,0.200,0.012001,0.012000,
Visit D,12,0.220,0.012007,0.012000,
Visit D,12,0.240,0.012031,0.012001,
Visit D,12,0.260,0.012128,0.012004,
Visit D,12,0.280,0.012480,0.012014,
Visit D,12,0.300,0.013648,0.012049,
Visit D,12,0.320,0.017202,0.012164,
Visit D,12,0.340,0.027562,0.012511,
Visit D,12,0.360,0.058103,0.013485,
Visit D,12,0.380,0.145793,0.016019,
Visit D,12,0.400,0.355564,0.022129,
Visit D,12,0.420,0.715586,0.035777,
Visit D,12,0.440,1.127843,0.063984,
Visit D,12,0.460,1.465328,0.117852,
Visit D,12,0.480,1.756962,0.212746,0.580
Visit D,12,0.500,2.095490,0.366578,
Visit D,12,0.520,2.442427,0.595303,
Visit D,12,0.540,2.663677,0.905703,
Visit D,12,0.560,2.660782,1.287291,
Visit D,12,0.580,2.421251,1.706894,
Visit D,12,0.600,2.005634,2.109973,
Visit D,12,0.620,1.512705,2.430991,
Visit D,12,0.640,1.039611,2.611929,
Visit D,12,0.660,0.652097,2.624930,
Visit D,12,0.680,0.374699,2.489556,
Visit D,12,0.700,0.198952,2.262705,
Visit D,12,0.720,0.099659,1.986807,
Visit D,12,0.740,0.049389,1.650146,
Visit D,12,0.760,0.026507,1.238489,
Visit D,12,0.780,0.017120,0.811237,
