Temperature (°C),Reference Heat Flow (W/g),Modified A Heat Flow (W/g),Modified B Heat Flow (W/g)
25.00,0.15125,0.18625,0.22125
26.50,0.14952,0.18452,0.21952
28.00,0.14780,0.18280,0.21780
29.50,0.14607,0.18107,0.21607
31.00,0.14435,0.17935,0.21435
32.50,0.14262,0.17762,0.21262
34.00,0.14090,0.17590,0.21090
35.50,0.13917,0.17417,0.20917
37.00,0.13745,0.17245,0.20745
38.50,0.13572,0.17072,0.20572
40.00,0.13400,0.16900,0.20400
41.50,0.13227,0.16727,0.20227
43.00,0.13055,0.16555,0.20055
44.50,0.12882,0.16382,0.19882
46.00,0.12709,0.16210,0.19710
47.50,0.12537,0.16037,0.19537
49.00,0.12364,0.15865,0.19365
50.50,0.12190,0.15692,0.19192
52.00,0.12017,0.15520,0.19020
53.50,0.11843,0.15347,0.18847
55.00,0.11668,0.15174,0.18675
56.50,0.11493,0.15001,0.18502
58.00,0.11316,0.14828,0.18330
59.50,0.11136,0.14654,0.18157
61.00,0.10953,0.14480,0.17984
62.50,0.10766,0.14305,0.17811
64.00,0.10570,0.14129,0.17638
65.50,0.10365,0.13951,0.17465
67.00,0.10143,0.13771,0.17291
68.50,0.09900,0.13586,0.17117
70.00,0.09624,0.13396,0.16941
71.50,0.09303,0.13198,0.16765
73.00,0.08920,0.12988,0.16586
74.50,0.08457,0.12760,0.16405
76.00,0.07892,0.12507,0.16219
77.50,0.07213,0.12217,0.16026
79.00,0.06417,0.11878,0.15825
80.50,0.05522,0.11471,0.15609
82.00,0.04570,0.10976,0.15374
83.50,0.03618,0.10374,0.15110
85.00,0.02723,0.09655,0.14806
86.50,0.01927,0.08823,0.14446
88.00,0.01248,0.07903,0.14011
89.50,0.00683,0.06945,0.13483
91.00,0.00220,0.06006,0.12843
92.50,-0.00163,0.05140,0.12085
94.00,-0.00484,0.04382,0.11219
95.50,-0.00760,0.03742,0.10280
97.00,-0.01003,0.03214,0.09322
98.50,-0.01225,0.02779,0.08402
100.00,-0.01430,0.02419,0.07570
101.50,-0.01626,0.02115,0.06851
103.00,-0.01813,0.01851,0.06249
104.50,-0.01996,0.01616,0.05754
106.00,-0.02176,0.01400,0.05347
107.50,-0.02353,0.01199,0.05008
109.00,-0.02528,0.01006,0.04718
110.50,-0.02703,0.00820,0.04465
112.00,-0.02877,0.00639,0.04237
113.50,-0.03050,0.00460,0.04027
115.00,-0.03224,0.00284,0.03829
116.50,-0.03397,0.00108,0.03639
118.00,-0.03569,-0.00066,0.03454
119.50,-0.03742,-0.00240,0.03274
