Wavenumber (cm^-1),30 C Transmittance (%),80 C Transmittance (%),130 C Transmittance (%),180 C Transmittance (%),230 C Transmittance (%),280 C Transmittance (%)
1800.000,96.11148,95.89379,95.67587,95.45774,95.23942,95.02091
1797.125,96.09682,95.88039,95.66361,95.44651,95.22912,95.01146
1794.250,96.07646,95.86188,95.64679,95.43123,95.21522,94.99882
1791.375,96.04793,95.83604,95.62340,95.41007,95.19610,94.98154
1788.500,96.00794,95.79986,95.59071,95.38058,95.16953,94.95764
1785.625,95.95213,95.74938,95.54513,95.33949,95.13256,94.92445
1782.750,95.87494,95.67949,95.48198,95.28255,95.08135,94.87850
1779.875,95.76942,95.58380,95.39540,95.20441,95.01100,94.81534
1777.000,95.62713,95.45450,95.27819,95.09843,94.91544,94.72943
1774.125,95.43813,95.28234,95.12177,94.95669,94.78738,94.61409
1771.250,95.19109,95.05672,94.91625,94.77000,94.61829,94.46145
1768.375,94.87358,94.76593,94.65062,94.52805,94.39859,94.26262
1765.500,94.47257,94.39756,94.31315,94.21978,94.11788,94.00786
1762.625,93.97516,93.93924,93.89199,93.83389,93.76543,93.68707
1759.750,93.36955,93.37942,93.37592,93.35956,93.33086,93.29032
1756.875,92.64621,92.70854,92.75542,92.78737,92.80493,92.80862
1754.000,91.79916,91.92020,92.02379,92.11042,92.18061,92.23489
1751.125,90.82736,91.01252,91.17838,91.32542,91.45411,91.56494
1748.250,89.73599,89.98930,90.22182,90.43393,90.62602,90.79854
1745.375,88.53746,88.86117,89.16302,89.44331,89.70232,89.94039
1742.500,87.25210,87.64617,88.01794,88.36754,88.69513,89.00090
1739.625,85.90825,86.37008,86.80985,87.22754,87.62312,87.99663
1736.750,84.54173,85.06591,85.56908,86.05100,86.51146,86.95033
1733.875,83.19458,83.77290,84.33208,84.87166,85.39123,85.89046
1731.000,81.91316,82.53477,83.13991,83.72791,84.29817,84.85014
1728.125,80.74559,81.39738,82.03609,82.66088,83.27097,83.86559
1725.250,79.73882,80.40596,81.06403,81.71205,82.34906,82.97413
