Dataset,Series 01,Series 02,Series 03,Series 04,Series 05,Series 06,Series 07,Series 08,Series 09,Series 10,Series 11,Series 12,Series 13,Series 14,Series 15,Series 16,Series 17,Series 18,Series 19,Series 20,Series 21,Series 22,Series 23,Series 24,Series 25,Series 26,Series 27,Series 28,Series 29,Series 30
Dataset 01,0.7548,0.7645,0.7630,0.7497,0.7250,0.6897,0.6460,0.5962,0.5435,0.4913,0.4429,0.4013,0.3691,0.3483,0.3398,0.3439,0.3599,0.3862,0.4205,0.4604,0.5028,0.5448,0.5839,0.6178,0.6450,0.6645,0.6761,0.6804,0.6783,0.6715
Dataset 02,0.8113,0.8149,0.8062,0.7853,0.7532,0.7117,0.6632,0.6109,0.5579,0.5077,0.4634,0.4277,0.4026,0.3894,0.3884,0.3990,0.4198,0.4490,0.4841,0.5222,0.5607,0.5970,0.6291,0.6554,0.6751,0.6880,0.6944,0.6955,0.6925,0.6871
Dataset 03,0.8575,0.8539,0.8375,0.8094,0.7710,0.7248,0.6737,0.6210,0.5700,0.5240,0.4856,0.4570,0.4396,0.4338,0.4392,0.4547,0.4785,0.5083,0.5416,0.5759,0.6086,0.6380,0.6625,0.6814,0.6944,0.7021,0.7054,0.7055,0.7039,0.7021
Dataset 04,0.8905,0.8792,0.8556,0.8211,0.7780,0.7292,0.6778,0.6271,0.5803,0.5402,0.5089,0.4880,0.4779,0.4785,0.4889,0.5073,0.5318,0.5599,0.5893,0.6178,0.6436,0.6654,0.6824,0.6947,0.7025,0.7070,0.7093,0.7108,0.7129,0.7166
Dataset 05,0.9083,0.8897,0.8597,0.8206,0.7749,0.7257,0.6763,0.6298,0.5890,0.5560,0.5323,0.5187,0.5151,0.5207,0.5340,0.5531,0.5758,0.6000,0.6237,0.6452,0.6634,0.6777,0.6882,0.6952,0.6999,0.7034,0.7071,0.7123,0.7198,0.7304
Dataset 06,0.9101,0.8852,0.8506,0.8088,0.7628,0.7156,0.6704,0.6298,0.5961,0.5707,0.5544,0.5473,0.5487,0.5571,0.5711,0.5884,0.6073,0.6258,0.6425,0.6564,0.6671,0.6748,0.6801,0.6839,0.6876,0.6926,0.6999,0.7105,0.7249,0.7430
Dataset 07,0.8963,0.8667,0.8295,0.7874,0.7434,0.7004,0.6611,0.6276,0.6015,0.5835,0.5737,0.5715,0.5758,0.5849,0.5971,0.6106,0.6237,0.6352,0.6443,0.6508,0.6549,0.6574,0.6595,0.6624,0.6675,0.6760,0.6889,0.7063,0.7283,0.7539
Dataset 08,0.8684,0.8361,0.7986,0.7585,0.7187,0.6816,0.6494,0.6236,0.6048,0.5933,0.5884,0.5892,0.5941,0.6015,0.6098,0.6175,0.6237,0.6276,0.6293,0.6291,0.6280,0.6273,0.6284,0.6327,0.6415,0.6555,0.6752,0.7002,0.7297,0.7621
Dataset 09,0.8287,0.7961,0.7606,0.7247,0.6908,0.6608,0.6362,0.6178,0.6055,0.5989,0.5970,0.5983,0.6015,0.6050,0.6076,0.6084,0.6069,0.6034,0.5984,0.5931,0.5888,0.5872,0.5897,0.5976,0.6118,0.6327,0.6599,0.6925,0.7288,0.7666
Dataset 10,0.7803,0.7498,0.7184,0.6884,0.6616,0.6393,0.6221,0.6101,0.6028,0.5991,0.5978,0.5975,0.5967,0.5945,0.5901,0.5833,0.5744,0.5642,0.5541,0.5455,0.5403,0.5401,0.5462,0.5596,0.5807,0.6092,0.6439,0.6832,0.7249,0.7662
