Dataset,Series 01,Series 02,Series 03,Series 04,Series 05,Series 06,Series 07,Series 08,Series 09,Series 10,Series 11,Series 12,Series 13,Series 14,Series 15,Series 16,Series 17,Series 18,Series 19,Series 20,Series 21,Series 22,Series 23,Series 24,Series 25,Series 26,Series 27,Series 28,Series 29,Series 30,Series 31,Series 32,Series 33,Series 34,Series 35,Series 36,Series 37,Series 38,Series 39,Series 40
Dataset 01,0.7548,0.7645,0.7630,0.7497,0.7250,0.6897,0.6460,0.5962,0.5435,0.4913,0.4429,0.4013,0.3691,0.3483,0.3398,0.3439,0.3599,0.3862,0.4205,0.4604,0.5028,0.5448,0.5839,0.6178,0.6450,0.6645,0.6761,0.6804,0.6783,0.6715,0.6616,0.6503,0.6392,0.6295,0.6221,0.6172,0.6145,0.6132,0.6122,0.6102
Dataset 02,0.8113,0.8149,0.8062,0.7853,0.7532,0.7117,0.6632,0.6109,0.5579,0.5077,0.4634,0.4277,0.4026,0.3894,0.3884,0.3990,0.4198,0.4490,0.4841,0.5222,0.5607,0.5970,0.6291,0.6554,0.6751,0.6880,0.6944,0.6955,0.6925,0.6871,0.6808,0.6750,0.6707,0.6687,0.6688,0.6706,0.6733,0.6755,0.6758,0.6727
Dataset 03,0.8575,0.8539,0.8375,0.8094,0.7710,0.7248,0.6737,0.6210,0.5700,0.5240,0.4856,0.4570,0.4396,0.4338,0.4392,0.4547,0.4785,0.5083,0.5416,0.5759,0.6086,0.6380,0.6625,0.6814,0.6944,0.7021,0.7054,0.7055,0.7039,0.7021,0.7013,0.7023,0.7056,0.7111,0.7180,0.7252,0.7314,0.7349,0.7341,0.7276
Dataset 04,0.8905,0.8792,0.8556,0.8211,0.7780,0.7292,0.6778,0.6271,0.5803,0.5402,0.5089,0.4880,0.4779,0.4785,0.4889,0.5073,0.5318,0.5599,0.5893,0.6178,0.6436,0.6654,0.6824,0.6947,0.7025,0.7070,0.7093,0.7108,0.7129,0.7166,0.7226,0.7312,0.7420,0.7542,0.7665,0.7773,0.7847,0.7871,0.7830,0.7712
Dataset 05,0.9083,0.8897,0.8597,0.8206,0.7749,0.7257,0.6763,0.6298,0.5890,0.5560,0.5323,0.5187,0.5151,0.5207,0.5340,0.5531,0.5758,0.6000,0.6237,0.6452,0.6634,0.6777,0.6882,0.6952,0.6999,0.7034,0.7071,0.7123,0.7198,0.7304,0.7439,0.7600,0.7777,0.7953,0.8111,0.8231,0.8294,0.8285,0.8190,0.8006
Dataset 06,0.9101,0.8852,0.8506,0.8088,0.7628,0.7156,0.6704,0.6298,0.5961,0.5707,0.5544,0.5473,0.5487,0.5571,0.5711,0.5884,0.6073,0.6258,0.6425,0.6564,0.6671,0.6748,0.6801,0.6839,0.6876,0.6926,0.6999,0.7105,0.7249,0.7430,0.7641,0.7870,0.8100,0.8311,0.8482,0.8591,0.8621,0.8559,0.8398,0.8138
Dataset 07,0.8963,0.8667,0.8295,0.7874,0.7434,0.7004,0.6611,0.6276,0.6015,0.5835,0.5737,0.5715,0.5758,0.5849,0.5971,0.6106,0.6237,0.6352,0.6443,0.6508,0.6549,0.6574,0.6595,0.6624,0.6675,0.6760,0.6889,0.7063,0.7283,0.7539,0.7818,0.8101,0.8366,0.8590,0.8749,0.8825,0.8803,0.8673,0.8437,0.8102
Dataset 08,0.8684,0.8361,0.7986,0.7585,0.7187,0.6816,0.6494,0.6236,0.6048,0.5933,0.5884,0.5892,0.5941,0.6015,0.6098,0.6175,0.6237,0.6276,0.6293,0.6291,0.6280,0.6273,0.6284,0.6327,0.6415,0.6555,0.6752,0.7002,0.7297,0.7621,0.7954,0.8272,0.8550,0.8762,0.8889,0.8912,0.8822,0.8618,0.8306,0.7901
Dataset 09,0.8287,0.7961,0.7606,0.7247,0.6908,0.6608,0.6362,0.6178,0.6055,0.5989,0.5970,0.5983,0.6015,0.6050,0.6076,0.6084,0.6069,0.6034,0.5984,0.5931,0.5888,0.5872,0.5897,0.5976,0.6118,0.6327,0.6599,0.6925,0.7288,0.7666,0.8033,0.8364,0.8631,0.8810,0.8884,0.8840,0.8675,0.8395,0.8014,0.7553
Dataset 10,0.7803,0.7498,0.7184,0.6884,0.6616,0.6393,0.6221,0.6101,0.6028,0.5991,0.5978,0.5975,0.5967,0.5945,0.5901,0.5833,0.5744,0.5642,0.5541,0.5455,0.5403,0.5401,0.5462,0.5596,0.5807,0.6092,0.6439,0.6832,0.7249,0.7662,0.8042,0.8362,0.8595,0.8722,0.8729,0.8610,0.8369,0.8020,0.7583,0.7084
Dataset 11,0.7269,0.7006,0.6751,0.6522,0.6330,0.6181,0.6074,0.6003,0.5959,0.5928,0.5898,0.5856,0.5792,0.5700,0.5580,0.5437,0.5282,0.5128,0.4995,0.4900,0.4862,0.4895,0.5011,0.5214,0.5501,0.5860,0.6276,0.6723,0.7175,0.7600,0.7970,0.8256,0.8437,0.8496,0.8428,0.8233,0.7924,0.7518,0.7043,0.6529
Dataset 12,0.6722,0.6518,0.6335,0.6182,0.6064,0.5979,0.5922,0.5880,0.5842,0.5795,0.5725,0.5626,0.5492,0.5324,0.5129,0.4920,0.4713,0.4528,0.4385,0.4304,0.4302,0.4391,0.4575,0.4853,0.5215,0.5643,0.6112,0.6594,0.7058,0.7473,0.7809,0.8043,0.8156,0.8141,0.7997,0.7733,0.7367,0.6924,0.6433,0.5927
