19F Chemical Shift (ppm),Reference Intensity (a.u.),Composite Intensity (a.u.)
-118.000,0.025000,0.022000
-118.180,0.025000,0.022000
-118.360,0.025000,0.022000
-118.540,0.025000,0.022000
-118.720,0.025000,0.022000
-118.900,0.025000,0.022000
-119.080,0.025000,0.022000
-119.260,0.025000,0.022000
-119.440,0.025000,0.022000
-119.620,0.025000,0.022000
-119.800,0.025000,0.022000
-119.980,0.025000,0.022000
-120.160,0.025000,0.022000
-120.340,0.025000,0.022000
-120.520,0.025000,0.022000
-120.700,0.025000,0.022000
-120.880,0.025000,0.022000
-121.060,0.025000,0.022000
-121.240,0.025000,0.022000
-121.420,0.025000,0.022000
-121.600,0.025000,0.022000
-121.780,0.025000,0.022000
-121.960,0.025000,0.022000
-122.140,0.025000,0.022000
-122.320,0.025000,0.022000
-122.500,0.025000,0.022000
-122.680,0.025000,0.022000
-122.860,0.025000,0.022000
-123.040,0.025000,0.022000
-123.220,0.025000,0.022000
-123.400,0.025000,0.022000
-123.580,0.025000,0.022000
-123.760,0.025000,0.022000
-123.940,0.025000,0.022000
-124.120,0.025000,0.022000
-124.300,0.025000,0.022000
-124.480,0.025000,0.022000
-124.660,0.025000,0.022000
-124.840,0.025001,0.022000
-125.020,0.025024,0.022000
-125.200,0.025319,0.022000
-125.380,0.027934,0.022000
-125.560,0.043849,0.022000
-125.740,0.109476,0.022000
-125.920,0.289135,0.022000
-126.100,0.601204,0.022000
-126.280,0.901961,0.022000
-126.460,0.956189,0.022000
-126.640,0.714842,0.022000
-126.820,0.381546,0.022000
-127.000,0.153569,0.022000
-127.180,0.057345,0.022000
-127.360,0.030677,0.022000
-127.540,0.025695,0.022000
-127.720,0.025059,0.022000
-127.900,0.025004,0.022000
-128.080,0.025000,0.022000
-128.260,0.025000,0.022000
-128.440,0.025000,0.022005
-128.620,0.025000,0.022057
-128.800,0.025000,0.022495
-128.980,0.025000,0.025258
-129.160,0.025000,0.038197
-129.340,0.025000,0.082848
-129.520,0.025000,0.194713
-129.700,0.025000,0.392409
-129.880,0.025000,0.622227
-130.060,0.025000,0.756897
-130.240,0.025000,0.701852
