Wavelength (nm),150 C PL Intensity (a.u.),175 C PL Intensity (a.u.),200 C PL Intensity (a.u.),225 C PL Intensity (a.u.),250 C PL Intensity (a.u.),275 C PL Intensity (a.u.)
430.00,0.148169,0.141408,0.134280,0.126806,0.119009,0.110906
431.00,0.155826,0.148428,0.140663,0.132554,0.124122,0.115388
432.00,0.163836,0.155766,0.147329,0.138551,0.129454,0.120059
433.00,0.172192,0.163411,0.154268,0.144788,0.134994,0.124909
434.00,0.180882,0.171354,0.161469,0.151255,0.140734,0.129930
435.00,0.189892,0.179580,0.168920,0.157939,0.146662,0.135110
436.00,0.199207,0.188073,0.176604,0.164826,0.152763,0.140438
437.00,0.208807,0.196817,0.184505,0.171899,0.159023,0.145899
438.00,0.218672,0.205789,0.192603,0.179140,0.165425,0.151477
439.00,0.228778,0.214968,0.200877,0.186529,0.171949,0.157156
440.00,0.239100,0.224329,0.209303,0.194045,0.178576,0.162916
441.00,0.249611,0.233847,0.217857,0.201663,0.185285,0.168738
442.00,0.260283,0.243493,0.226513,0.209360,0.192052,0.174602
443.00,0.271085,0.253240,0.235244,0.217111,0.198855,0.180487
444.00,0.281988,0.263059,0.244023,0.224890,0.205670,0.186371
445.00,0.292960,0.272920,0.252821,0.232670,0.212472,0.192232
446.00,0.303970,0.282792,0.261611,0.240426,0.219238,0.198048
447.00,0.314987,0.292648,0.270365,0.248132,0.225944,0.203797
448.00,0.325982,0.302457,0.279055,0.255762,0.232567,0.209458
449.00,0.336925,0.312193,0.287657,0.263293,0.239083,0.215011
450.00,0.347788,0.321829,0.296144,0.270701,0.245473,0.220436
451.00,0.358547,0.331341,0.304494,0.277964,0.251715,0.225716
452.00,0.369178,0.340707,0.312687,0.285064,0.257793,0.230834
453.00,0.379660,0.349907,0.320704,0.291983,0.263690,0.235775
454.00,0.389977,0.358925,0.328528,0.298707,0.269392,0.240527
455.00,0.400113,0.367746,0.336147,0.305222,0.274888,0.245080
456.00,0.410057,0.376360,0.343551,0.311519,0.280170,0.249425
457.00,0.419802,0.384760,0.350733,0.317593,0.285231,0.253556
458.00,0.429345,0.392943,0.357690,0.323439,0.290068,0.257472
459.00,0.438685,0.400908,0.364421,0.329058,0.294681,0.261172
460.00,0.447826,0.408659,0.370929,0.334452,0.299072,0.264657
461.00,0.456776,0.416202,0.377222,0.339628,0.303247,0.267933
462.00,0.465546,0.423549,0.383309,0.344595,0.307214,0.271006
463.00,0.474150,0.430714,0.389203,0.349363,0.310985,0.273888
464.00,0.482605,0.437712,0.394919,0.353949,0.314571,0.276589
465.00,0.490933,0.444565,0.400477,0.358370,0.317990,0.279125
466.00,0.499156,0.451292,0.405897,0.362644,0.321259,0.281510
467.00,0.507299,0.457920,0.411203,0.366793,0.324397,0.283764
468.00,0.515389,0.464474,0.416418,0.370841,0.327426,0.285905
469.00,0.523454,0.470981,0.421569,0.374812,0.330369,0.287954
470.00,0.531524,0.477470,0.426683,0.378730,0.333249,0.289933
471.00,0.539628,0.483969,0.431787,0.382624,0.336091,0.291862
472.00,0.547794,0.490508,0.436911,0.386517,0.338918,0.293766
473.00,0.556054,0.497115,0.442081,0.390438,0.341756,0.295666
474.00,0.564433,0.503818,0.447324,0.394413,0.344628,0.297584
475.00,0.572959,0.510645,0.452668,0.398465,0.347559,0.299543
476.00,0.581658,0.517620,0.458137,0.402620,0.350571,0.301564
477.00,0.590551,0.524768,0.463755,0.406901,0.353687,0.303667
478.00,0.599659,0.532110,0.469544,0.411329,0.356925,0.305870
479.00,0.609000,0.539664,0.475523,0.415923,0.360307,0.308192
480.00,0.618588,0.547449,0.481710,0.420701,0.363847,0.310649
