Zreal (Ohm),Condition Position (mm),-Zimag (Ohm),Series
0.450000,20,0.000000,Position 20 mm
0.452261,20,0.081121,Position 20 mm
0.459039,20,0.162019,Position 20 mm
0.470314,20,0.242473,Position 20 mm
0.486056,20,0.322263,Position 20 mm
0.506222,20,0.401170,Position 20 mm
0.530757,20,0.478976,Position 20 mm
0.559592,20,0.555470,Position 20 mm
0.592650,20,0.630442,Position 20 mm
0.629839,20,0.703685,Position 20 mm
0.671058,20,0.775000,Position 20 mm
0.716194,20,0.844191,Position 20 mm
0.765122,20,0.911067,Position 20 mm
0.817709,20,0.975447,Position 20 mm
0.873811,20,1.037152,Position 20 mm
0.933274,20,1.096016,Position 20 mm
0.995934,20,1.151874,Position 20 mm
1.061621,20,1.204576,Position 20 mm
1.130154,20,1.253976,Position 20 mm
1.201346,20,1.299939,Position 20 mm
1.275000,20,1.342339,Position 20 mm
1.350916,20,1.381060,Position 20 mm
1.428885,20,1.415995,Position 20 mm
1.508693,20,1.447050,Position 20 mm
1.590122,20,1.474138,Position 20 mm
1.672949,20,1.497185,Position 20 mm
1.756946,20,1.516129,Position 20 mm
1.841883,20,1.530917,Position 20 mm
1.927528,20,1.541509,Position 20 mm
2.013646,20,1.547876,Position 20 mm
2.100000,20,1.550000,Position 20 mm
2.186354,20,1.547876,Position 20 mm
2.272472,20,1.541509,Position 20 mm
2.358117,20,1.530917,Position 20 mm
2.443054,20,1.516129,Position 20 mm
2.527051,20,1.497185,Position 20 mm
2.609878,20,1.474138,Position 20 mm
2.691307,20,1.447050,Position 20 mm
2.771115,20,1.415995,Position 20 mm
2.849084,20,1.381060,Position 20 mm
2.925000,20,1.342339,Position 20 mm
2.998654,20,1.299939,Position 20 mm
3.069846,20,1.253976,Position 20 mm
3.138379,20,1.204576,Position 20 mm
3.204066,20,1.151874,Position 20 mm
3.266726,20,1.096016,Position 20 mm
3.326189,20,1.037152,Position 20 mm
3.382291,20,0.975447,Position 20 mm
3.434878,20,0.911067,Position 20 mm
3.483806,20,0.844191,Position 20 mm
3.528942,20,0.775000,Position 20 mm
3.570161,20,0.703685,Position 20 mm
3.607350,20,0.630442,Position 20 mm
3.640408,20,0.555470,Position 20 mm
3.669243,20,0.478976,Position 20 mm
3.693778,20,0.401170,Position 20 mm
3.713944,20,0.322263,Position 20 mm
3.729686,20,0.242473,Position 20 mm
3.740961,20,0.162019,Position 20 mm
3.747739,20,0.081121,Position 20 mm
3.750000,20,0.000000,Position 20 mm
0.650000,50,0.000000,Position 50 mm
0.652947,50,0.117756,Position 50 mm
0.661778,50,0.235189,Position 50 mm
0.676470,50,0.351978,Position 50 mm
0.696983,50,0.467801,Position 50 mm
0.723259,50,0.582343,Position 50 mm
0.755228,50,0.695288,Position 50 mm
0.792802,50,0.806328,Position 50 mm
0.835877,50,0.915157,Position 50 mm
0.884336,50,1.021479,Position 50 mm
0.938045,50,1.125000,Position 50 mm
0.996858,50,1.225438,Position 50 mm
1.060613,50,1.322517,Position 50 mm
1.129136,50,1.415971,Position 50 mm
1.202239,50,1.505544,Position 50 mm
1.279720,50,1.590990,Position 50 mm
1.361369,50,1.672076,Position 50 mm
1.446961,50,1.748578,Position 50 mm
1.536262,50,1.820288,Position 50 mm
1.629026,50,1.887009,Position 50 mm
1.725000,50,1.948557,Position 50 mm
1.823920,50,2.004765,Position 50 mm
1.925516,50,2.055477,Position 50 mm
2.029509,50,2.100556,Position 50 mm
2.135613,50,2.139877,Position 50 mm
2.243539,50,2.173333,Position 50 mm
2.352990,50,2.200832,Position 50 mm
2.463666,50,2.222299,Position 50 mm
2.575264,50,2.237674,Position 50 mm
2.687478,50,2.246916,Position 50 mm
2.800000,50,2.250000,Position 50 mm
2.912522,50,2.246916,Position 50 mm
3.024736,50,2.237674,Position 50 mm
3.136334,50,2.222299,Position 50 mm
3.247010,50,2.200832,Position 50 mm
3.356461,50,2.173333,Position 50 mm
3.464387,50,2.139877,Position 50 mm
3.570491,50,2.100556,Position 50 mm
3.674484,50,2.055477,Position 50 mm
3.776080,50,2.004765,Position 50 mm
3.875000,50,1.948557,Position 50 mm
3.970974,50,1.887009,Position 50 mm
4.063738,50,1.820288,Position 50 mm
4.153039,50,1.748578,Position 50 mm
4.238631,50,1.672076,Position 50 mm
4.320280,50,1.590990,Position 50 mm
4.397761,50,1.505544,Position 50 mm
4.470864,50,1.415971,Position 50 mm
4.539387,50,1.322517,Position 50 mm
4.603142,50,1.225438,Position 50 mm
4.661955,50,1.125000,Position 50 mm
4.715664,50,1.021479,Position 50 mm
4.764123,50,0.915157,Position 50 mm
4.807198,50,0.806328,Position 50 mm
4.844772,50,0.695288,Position 50 mm
4.876741,50,0.582343,Position 50 mm
4.903017,50,0.467801,Position 50 mm
4.923530,50,0.351978,Position 50 mm
4.938222,50,0.235189,Position 50 mm
4.947053,50,0.117756,Position 50 mm
4.950000,50,0.000000,Position 50 mm
0.850000,80,0.000000,Position 80 mm
0.853769,80,0.151774,Position 80 mm
0.865065,80,0.303133,Position 80 mm
0.883857,80,0.453660,Position 80 mm
0.910094,80,0.602944,Position 80 mm
0.943704,80,0.750575,Position 80 mm
0.984595,80,0.896149,Position 80 mm
1.032654,80,1.039267,Position 80 mm
1.087750,80,1.179536,Position 80 mm
1.149732,80,1.316572,Position 80 mm
1.218430,80,1.450000,Position 80 mm
1.293656,80,1.579453,Position 80 mm
1.375203,80,1.704577,Position 80 mm
1.462849,80,1.825029,Position 80 mm
1.556352,80,1.940479,Position 80 mm
1.655456,80,2.050610,Position 80 mm
1.759891,80,2.155120,Position 80 mm
1.869369,80,2.253723,Position 80 mm
1.983591,80,2.346149,Position 80 mm
2.102243,80,2.432145,Position 80 mm
2.225000,80,2.511474,Position 80 mm
2.351526,80,2.583919,Position 80 mm
2.481474,80,2.649282,Position 80 mm
2.614488,80,2.707383,Position 80 mm
2.750203,80,2.758064,Position 80 mm
2.888248,80,2.801185,Position 80 mm
3.028243,80,2.836628,Position 80 mm
3.169805,80,2.864296,Position 80 mm
3.312547,80,2.884113,Position 80 mm
3.456076,80,2.896026,Position 80 mm
3.600000,80,2.900000,Position 80 mm
3.743924,80,2.896026,Position 80 mm
3.887453,80,2.884113,Position 80 mm
4.030195,80,2.864296,Position 80 mm
4.171757,80,2.836628,Position 80 mm
4.311752,80,2.801185,Position 80 mm
4.449797,80,2.758064,Position 80 mm
4.585512,80,2.707383,Position 80 mm
4.718526,80,2.649282,Position 80 mm
4.848474,80,2.583919,Position 80 mm
4.975000,80,2.511474,Position 80 mm
5.097757,80,2.432145,Position 80 mm
5.216409,80,2.346149,Position 80 mm
5.330631,80,2.253723,Position 80 mm
5.440109,80,2.155120,Position 80 mm
5.544544,80,2.050610,Position 80 mm
