Wavelength (nm),Reference Absorbance (a.u.),Modified A Absorbance (a.u.),Modified B Absorbance (a.u.)
260.00,1.027866,0.985313,0.944610
262.00,1.030762,0.987554,0.946258
264.00,1.033881,0.990010,0.948095
266.00,1.037220,0.992685,0.950131
268.00,1.040774,0.995582,0.952373
270.00,1.044533,0.998703,0.954830
272.00,1.048485,1.002044,0.957507
274.00,1.052613,1.005599,0.960406
276.00,1.056897,1.009360,0.963528
278.00,1.061312,1.013314,0.966871
280.00,1.065830,1.017444,0.970428
282.00,1.070421,1.021730,0.974191
284.00,1.075048,1.026147,0.978147
286.00,1.079674,1.030669,0.982279
288.00,1.084258,1.035262,0.986567
290.00,1.088758,1.039893,0.990986
292.00,1.093130,1.044523,0.995510
294.00,1.097329,1.049112,1.000107
296.00,1.101309,1.053617,1.004740
298.00,1.105027,1.057995,1.009374
300.00,1.108438,1.062201,1.013967
302.00,1.111503,1.066190,1.018478
304.00,1.114183,1.069918,1.022861
306.00,1.116442,1.073342,1.027074
308.00,1.118250,1.076423,1.031071
310.00,1.119580,1.079121,1.034809
312.00,1.120409,1.081403,1.038245
314.00,1.120721,1.083239,1.041340
316.00,1.120504,1.084602,1.044056
318.00,1.119750,1.085474,1.046359
320.00,1.118455,1.085837,1.048220
322.00,1.116622,1.085682,1.049615
324.00,1.114254,1.085005,1.050525
326.00,1.111358,1.083806,1.050936
328.00,1.107941,1.082090,1.050840
330.00,1.104011,1.079865,1.050234
332.00,1.099572,1.077146,1.049123
334.00,1.094626,1.073947,1.047515
336.00,1.089167,1.070285,1.045425
338.00,1.083180,1.066176,1.042870
340.00,1.076640,1.061635,1.039874
342.00,1.069506,1.056673,1.036460
344.00,1.061717,1.051297,1.032658
346.00,1.053192,1.045506,1.028495
348.00,1.043822,1.039288,1.023998
350.00,1.033468,1.032619,1.019194
352.00,1.021960,1.025459,1.014105
354.00,1.009088,1.017749,1.008750
356.00,0.994606,1.009407,1.003140
358.00,0.978231,1.000325,0.997277
360.00,0.959650,0.990365,0.991153
362.00,0.938527,0.979355,0.984748
364.00,0.914521,0.967090,0.978023
366.00,0.887313,0.953325,0.970923
368.00,0.856635,0.937783,0.963372
