Binding Energy (eV),Reference Counts,Modified A Counts,Modified B Counts
296.00,92.0000,98.3500,102.9215
295.94,93.2486,98.9905,102.5510
295.88,94.3258,99.1981,101.8136
295.82,95.0863,98.9579,100.8363
295.76,95.4318,98.3221,99.7820
295.70,95.3269,97.4024,98.8253
295.64,94.8034,96.3533,98.1262
295.58,93.9562,95.3483,97.8058
295.52,92.9288,94.5548,97.9284
295.46,91.8916,94.1081,98.4920
295.40,91.0167,94.0915,99.4279
295.34,90.4517,94.5237,100.6120
295.28,90.2976,95.3560,101.8826
295.22,90.5938,96.4797,103.0651
295.16,91.3121,97.7422,103.9982
295.10,92.3607,98.9701,104.5578
295.04,93.5985,99.9953,104.6762
294.98,94.8557,100.6799,104.3519
294.92,95.9598,100.9375,103.6497
294.86,96.7611,100.7454,102.6914
294.80,97.1556,100.1489,101.6370
294.74,97.1002,99.2537,100.6612
294.68,96.6195,98.2104,99.9267
294.62,95.8018,97.1920,99.5600
294.56,94.7862,96.3677,99.6325
294.50,93.7414,95.8774,100.1494
294.44,92.8406,95.8110,101.0494
294.38,92.2353,96.1947,102.2135
294.32,92.0326,96.9871,103.4831
294.26,92.2791,98.0854,104.6837
294.20,92.9540,99.3409,105.6514
294.14,93.9723,100.5812,106.2568
294.08,95.1972,101.6364,106.4255
294.02,96.4610,102.3640,106.1481
293.96,97.5900,102.6712,105.4827
293.90,98.4310,102.5280,104.5453
293.84,98.8738,101.9720,103.4930
293.78,98.8683,101.1031,102.5001
293.72,98.4314,100.0679,101.7317
293.66,97.6449,99.0381,101.3197
293.60,96.6433,98.1846,101.3420
293.54,95.5931,97.6519,101.8116
293.48,94.6683,97.5360,102.6741
293.42,94.0240,97.8707,103.8162
293.36,93.7731,98.6219,105.0827
293.30,93.9697,99.6930,106.2995
293.24,94.6003,100.9394,107.3001
293.18,95.5866,102.1900,107.9505
293.12,96.7965,103.2734,108.1692
293.06,98.0647,104.0430,107.9395
293.00,99.2168,104.3995,107.3123
292.94,100.0962,104.3056,106.3980
292.88,100.5869,103.7915,105.3500
292.82,100.6316,102.9508,104.3420
292.76,100.2398,101.9260,103.5416
